#run;event;Ncharged;Pcharged;E_ecal;E_hcal;E_lep
5227;523;51;77,3;42,1;3;45,57
5227;672;52;54,8;39,7;15,8;45,57
5227;832;28;50;55,7;11,9;45,57
5227;917;24;32;46,7;8,3;45,57
5227;989;36;53,3;33,2;16,3;45,57
5227;1140;28;13,9;58,4;5,5;45,57
5227;1203;39;40,4;58,8;0,6;45,57
5227;1288;21;43,3;50,8;203,9;45,57
5227;1455;30;3,2;37,2;3,3;45,57
5227;1586;22;293,1;52,9;15,7;45,57
5227;1675;34;39,8;50,7;13,5;45,57
5227;1837;39;72;41,4;25;45,57
5227;1997;20;66,2;23,8;15,9;45,57
5227;2109;25;49,7;37,8;48,7;45,57
5227;2205;25;53,8;53,2;17,7;45,57
5227;2320;53;13,2;51,5;6;45,57
5227;2474;30;60,2;37,8;84,6;45,57
5227;2658;37;18,9;58,8;9;45,57
5227;2754;23;60,9;53,4;28,4;45,57
5227;2884;27;48,7;57;9,5;45,57
5227;2995;9;59,8;55,6;23,3;45,57
5227;3184;31;58,6;43,9;29,3;45,57
5227;3290;19;45,3;73,2;3,4;45,57
5227;3473;33;51,3;48,1;35,5;45,57
5227;3656;45;21,9;55,6;6,5;45,57
5227;3762;27;52,9;59,7;22,1;45,57
5227;3895;27;22,5;33,4;41,2;45,57
5227;4046;41;NaN;52,3;28,8;45,57
5227;4471;24;67,6;50;22,8;45,57
5227;4552;24;50,9;42,9;12,5;45,57
5227;4716;40;52,6;57,1;2,4;45,57
5227;4851;28;79,1;37,4;11,7;45,57
5227;5042;39;40,7;39,4;28,9;45,57
5227;5154;60;60,5;44,1;28,3;45,57
5227;5344;21;39,3;39,5;20,5;45,57
5227;5420;35;68,2;57,9;35;45,57
5227;5606;33;31,7;48,7;22,6;45,57
5227;5730;24;66,7;54,7;12,2;45,57
5227;5959;30;43,9;66,8;13,5;45,57
5227;6152;64;29;68,6;0;45,57
5227;6281;48;62,8;53,2;22,3;45,57
5227;6431;22;69,2;32,5;36,4;45,57
5227;6565;50;74,5;50,5;4,4;45,57
5227;6749;24;30,4;66,8;8,4;45,57
5227;6853;21;50,9;38,6;10;45,57
5227;7218;34;57,8;50,1;19,4;45,57
5227;7343;36;43,5;40,8;15,7;45,57
5227;7524;14;30,3;24,6;58,9;45,57
5227;7666;19;64,4;59,7;27,2;45,57
5227;7808;18;39,8;46,9;33,9;45,57
